line_number,log_level,content_type,priority,manual_annotation_needed,original_log,category,message
776,UNKNOWN,stack_exception,1,True,"2025-07-25T01:25:42.263639,""<li>UnsupportedOperationException when creating 'scratch file' in IntelliJ IDEA <a href=""""https://redirect.github.com/spring-io/spring-javaformat/pull/441"""">#441</a></li>"",unknown,github_issue,spring-projects/spring-security,17437,Bump io-spring-javaformat from 0.0.46 to 0.0.47,https://github.com/spring-projects/spring-security/pull/17437",stack_exception,776
9755,UNKNOWN,stack_exception,1,True,at org.springframework.boot.SpringApplication.prepareEnvironment(SpringApplication.java:370),stack_exception,9755
805,UNKNOWN,stack_exception,1,True,at org.gradle.internal.execution.steps.TimeoutStep.execute(TimeoutStep.java:55),stack_exception,805
18611,UNKNOWN,stack_exception,1,True,"2025-07-25T02:01:07.660065,Hello I have the same problem when using a Custom ApplicationExceptionHandler extending ResponseEntityExceptionHandler. It seams that AccessDeniedException are automatically catched when using this type of handler but not AuthorizationDeniedException. It is possible to add a custom exception handler for AuthorizationDeniedException to bypass this problem but it should not be necessary.,unknown,github_issue,spring-projects/spring-security,15254,""Endpoint returns a 500, instead of 403 status code when the user does not have required permission"",https://github.com/spring-projects/spring-security/issues/15254",stack_exception,18611
13392,ERROR,stack_exception,1,True,"2025-07-25T00:30:31.183559,""@kridtakom, the Framework change should hopefully fix your problem. In the absence of an example that we can try ourselves, can you please test 6.2.6-SNAPSHOT against your app? It's available from https://repo.spring.io/snapshot."",unknown,github_issue,spring-projects/spring-boot,44988,Error dependency cycle between beans when upgrade spring boot version from 3.4.3 to 3.4.4,https://github.com/spring-projects/spring-boot/issues/44988",stack_exception,13392
13578,UNKNOWN,stack_exception,1,True,at org.springframework.boot.SpringApplication.handleRunFailure(SpringApplication.java:823),stack_exception,13578
26447,UNKNOWN,stack_exception,1,True,java.lang.IllegalStateException: already released ReferenceCounter@4efeb79f[r=0],stack_exception,26447
20819,UNKNOWN,stack_exception,1,True,at org.springframework.security.web.util.matcher.DispatcherTypeRequestMatcher.matches(DispatcherTypeRequestMatcher.java:72),stack_exception,20819
25140,ERROR,stack_exception,1,True,Picked up JAVA_TOOL_OPTIONS: -Djava.security.properties=/layers/paketo-buildpacks_bellsoft-liberica/java-security-properties/java-security.properties -XX:+ExitOnOutOfMemoryError -XX:MaxDirectMemorySize=10M -Xmx6082201K -XX:MaxMetaspaceSize=79862K -XX:ReservedCodeCacheSize=240M -Xss1M -XX:+UnlockDiagnosticVMOptions -XX:NativeMemoryTracking=summary -XX:+PrintNMTStatistics -Dorg.springframework.cloud.bindings.boot.enable=true,stack_exception,25140
23004,UNKNOWN,stack_exception,1,True,at org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun(NioEndpoint.java:1716),stack_exception,23004
9658,ERROR,stack_exception,1,True,"2025-07-25T00:18:59.785273,I think this [sentence](https://docs.spring.io/spring-boot/reference/web/spring-security.html ) can be rephrased a little bit with including information that Boot's `/error` endpoint is also secured by default.,unknown,github_issue,spring-projects/spring-boot,45663,Improve documentation for configuring Spring Security with '/error',https://github.com/spring-projects/spring-boot/issues/45663",stack_exception,9658
21488,UNKNOWN,stack_exception,1,True,Caused by: com.nimbusds.jose.proc.BadJOSEException: JOSE header typ (type) logout+jwt not allowed,stack_exception,21488
1403,UNKNOWN,stack_exception,1,True,at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:116),stack_exception,1403
2810,UNKNOWN,stack_exception,1,True,Halo  | 	at io.netty.util.concurrent.FastThreadLocalRunnable.run(FastThreadLocalRunnable.java:30) ~[netty-common-4.1.119.Final.jar:4.1.119.Final],stack_exception,2810
2464,UNKNOWN,stack_exception,1,True,at liquibase.Scope.child(Scope.java:179),stack_exception,2464
7427,UNKNOWN,stack_exception,1,True,at org.gradle.internal.operations.DefaultBuildOperationRunner$2.execute(DefaultBuildOperationRunner.java:59),stack_exception,7427
6848,ERROR,stack_exception,1,True,- Enhanced error and warning reporting with the Problems API,stack_exception,6848
5286,UNKNOWN,stack_exception,1,True,at org.gradle.api.internal.tasks.testing.SuiteTestClassProcessor.stop(SuiteTestClassProcessor.java:61),stack_exception,5286
8072,UNKNOWN,stack_exception,1,True,at org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod.invokeAndHandle(ServletInvocableHandlerMethod.java:118) ~[spring_boot.exe:6.2.7],stack_exception,8072
4529,UNKNOWN,stack_exception,1,True,at org.springframework.boot.context.properties.bind.Binder.lambda$bindDataObject$6(Binder.java:488),stack_exception,4529
16349,UNKNOWN,stack_exception,1,True,at org.springframework.beans.factory.aot.BeanInstanceSupplier.lambda$get$2(BeanInstanceSupplier.java:225) ~[na:na],stack_exception,16349
26599,UNKNOWN,stack_exception,1,True,at ch.qos.logback.core.pattern.PatternLayoutBase.caterForLegacyConverterMaps(PatternLayoutBase.java:111),stack_exception,26599
24872,UNKNOWN,stack_exception,1,True,at org.springframework.boot.context.event.EventPublishingRunListener.multicastInitialEvent(EventPublishingRunListener.java:136),stack_exception,24872
2812,UNKNOWN,stack_exception,1,True,"Halo  | Caused by: java.lang.IllegalArgumentException: The class with org.springframework.security.web.authentication.switchuser.SwitchUserGrantedAuthority and name of org.springframework.security.web.authentication.switchuser.SwitchUserGrantedAuthority is not in the allowlist. If you believe this class is safe to deserialize, please provide an explicit mapping using Jackson annotations or by providing a Mixin. If the serialization is only done by a trusted source, you can also enable default typing. See https://github.com/spring-projects/spring-security/issues/4370 for details",stack_exception,2812
603,UNKNOWN,stack_exception,1,True,at java.base/java.lang.reflect.Method.invoke(Method.java:569),stack_exception,603
19016,UNKNOWN,stack_exception,1,True,"|_     Mono.doOnSuccess ⇢ at org.springframework.security.web.server.ObservationWebFilterChainDecorator$ObservationWebFilter.wrapFilter(ObservationWebFilterChainDecorator.java:211)"",unknown,github_issue,spring-projects/spring-security,15243,NullPointerException when GrantedAuthority.getAuthority() returns null,https://github.com/spring-projects/spring-security/issues/15243",stack_exception,19016
10603,UNKNOWN,stack_exception,1,True,at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:90) ~[tomcat-embed-core-10.1.33.jar:10.1.33],stack_exception,10603
2776,UNKNOWN,stack_exception,1,True,at org.springframework.beans.factory.support.SimpleInstantiationStrategy.instantiateWithFactoryMethod(SimpleInstantiationStrategy.java:88),stack_exception,2776
22158,UNKNOWN,stack_exception,1,True,at org.springframework.util.Assert.state(Assert.java:76) ~[spring-core-6.1.16.jar:6.1.16],stack_exception,22158
3901,UNKNOWN,stack_exception,1,True,at org.springframework.util.Assert.notNull(Assert.java:181) ~[spring-core-6.2.5.jar:6.2.5],stack_exception,3901
25402,UNKNOWN,stack_exception,1,True,at org.graalvm.nativeimage.builder/com.oracle.svm.core.jni.functions.JNIFunctions.GetFieldID(JNIFunctions.java:461),stack_exception,25402
5325,UNKNOWN,stack_exception,1,True,"2025-07-25T23:21:48.016546,""<li><a href=""""https://redirect.github.com/springdoc/springdoc-openapi/issues/2834"""">#2834</a> - java.lang.ClassNotFoundException: kotlin.reflect.full.KClasses when upgrade from 2.7.0 to 2.8.0</li>"",unknown,github_issue,jhipster/generator-jhipster,28450,build(deps): bump org.springdoc:springdoc-openapi-starter-webmvc-api from 2.7.0 to 2.8.2 in /generators/server/resources,https://github.com/jhipster/generator-jhipster/pull/28450",stack_exception,5325
3655,UNKNOWN,stack_exception,1,True,at java.base/java.lang.reflect.Method.invoke(Method.java:573) ~[na:na],stack_exception,3655
17786,UNKNOWN,stack_exception,1,True,"2025-07-25T00:38:48.889056,""Spring Boot isn't involved at all at that level. Without any evidence of a Spring boot bug, I'm going to close this one. If the version of Hibernate makes no difference, Spring Data JPA is the next most likely cause. If you want to pursue this by opening a Spring Data JPA issue, please create a complete yet minimal sample before doing so."",unknown,github_issue,spring-projects/spring-boot,44506,""Exception thrown in jpa query with @Param(""""example"""") parameter after Spring Boot upgrade to 3.4.3 from 3.4.2"",https://github.com/spring-projects/spring-boot/issues/44506",stack_exception,17786
2150,UNKNOWN,stack_exception,1,True,at org.springframework.boot.loader.launch.Launcher.launch(Launcher.java:102),stack_exception,2150
21207,UNKNOWN,stack_exception,1,True,at org.springframework.security.web.ObservationFilterChainDecorator$ObservationFilter.doFilter(ObservationFilterChainDecorator.java:227),stack_exception,21207
18689,UNKNOWN,stack_exception,1,True,at java.base@24/java.lang.invoke.LambdaForm$DMH/sa346b79c.invokeStaticInit(LambdaForm$DMH),stack_exception,18689
17303,UNKNOWN,stack_exception,1,True,at reactor.core.publisher.FluxPublish$PubSubInner.request(FluxPublish.java:874),stack_exception,17303
10748,UNKNOWN,stack_exception,1,True,at org.springframework.boot.docker.compose.lifecycle.DockerComposeListener.onApplicationEvent(DockerComposeListener.java:53),stack_exception,10748
15936,ERROR,stack_exception,1,True,"2025-07-25T01:57:02.549771,""When using Apache Tomcat, adding headers from different threads causes nasty race conditions that (because of Tomcat's instance recycling) can durably break the inner workings of their `org.apache.tomcat.util.http.MimeHeaders` class, potentially leading to errors in completely unrelated requests. I already experienced duplicate and missing response headers. As with most race conditions, these specific issues are almost impossible to reproduce."",unknown,github_issue,spring-projects/spring-security,15510,Race condition in HeaderWriterFilter when using asynchronous processing,https://github.com/spring-projects/spring-security/issues/15510",stack_exception,15936
10659,UNKNOWN,stack_exception,1,True,at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(DirectMethodHandleAccessor.java:103),stack_exception,10659
22398,UNKNOWN,stack_exception,1,True,at org.springframework.boot.testcontainers.service.connection.elasticsearch.ElasticsearchContainerConnectionDetailsFactoryTests.connectionCanBeMadeToElasticsearchContainer(ElasticsearchContainerConnectionDetailsFactoryTests.java:61),stack_exception,22398
1256,ERROR,stack_exception,1,True,2025-05-29T18:01:11.395+01:00 ERROR 62676 --- [notaries] [           main] [                                                 ] o.s.t.w.reactive.server.ExchangeResult   : Request details for assertion failure:,stack_exception,1256
1701,ERROR,stack_exception,1,True,"[INFO] Tests run: 49, Failures: 0, Errors: 0, Skipped: 0"",unknown,github_issue,jhipster/generator-jhipster,29641,persistent integration test failure,https://github.com/jhipster/generator-jhipster/issues/29641",stack_exception,1701
19478,UNKNOWN,stack_exception,1,True,at org.apache.catalina.core.StandardService.startInternal(StandardService.java:415) ~[tomcat-embed-core-10.1.36.jar:10.1.36],stack_exception,19478
10094,UNKNOWN,stack_exception,1,True,- [x] org.springframework.security.oauth2.client.ClientAuthorizationRequiredException,stack_exception,10094
12350,UNKNOWN,stack_exception,1,True,at org.springframework.beans.factory.support.DefaultListableBeanFactory.preInstantiateSingletons(DefaultListableBeanFactory.java:975),stack_exception,12350
27150,UNKNOWN,stack_exception,1,True,at io.netty.handler.codec.dns.DatagramDnsQueryEncoder.encode(DatagramDnsQueryEncoder.java:58),stack_exception,27150
14059,UNKNOWN,stack_exception,1,True,at org.springframework.boot.loader.launch.JarLauncher.main(JarLauncher.java:40),stack_exception,14059
25570,ERROR,stack_exception,1,True,"Unexpected error"",unknown,github_issue,spring-projects/spring-boot,43634,build doc task failed,https://github.com/spring-projects/spring-boot/issues/43634",stack_exception,25570
16010,ERROR,stack_exception,1,True,native-query-error3-review-1  | 	at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:601),stack_exception,16010
12322,UNKNOWN,stack_exception,1,True,at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:385),stack_exception,12322
10834,UNKNOWN,stack_exception,1,True,at org.springframework.boot.docker.compose.lifecycle.DockerComposeListener.onApplicationEvent(DockerComposeListener.java:53),stack_exception,10834
16577,UNKNOWN,stack_exception,1,True,at jakarta.servlet.http.HttpServlet.service(HttpServlet.java:527) ~[jakarta.jakartaee-api-10.0.0.jar:na],stack_exception,16577
10637,UNKNOWN,stack_exception,1,True,at org.springframework.boot.docker.compose.core.DockerCli.lambda$new$0(DockerCli.java:65),stack_exception,10637
20887,INFO,database_exception,3,True,[INFO] |  |  +- org.mongodb:bson:jar:5.0.1:compile,database_exception,20887
28517,UNKNOWN,database_exception,3,True,Downloaded from central: https://repo.maven.apache.org/maven2/com/google/code/findbugs/jsr305/3.0.2/jsr305-3.0.2.jar (20 kB at 259 kB/s),database_exception,28517
2703,INFO,database_exception,3,True,2025-07-23T15:09:09.230+01:00  INFO 1224 --- [databaseTest] [           main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration),database_exception,2703
4381,UNKNOWN,database_exception,3,True,"""""sha256:ffe9dbc2272dfb5e675ac6a536f2eeceb7af43be6eab515b9c6f2dd4947ff5c8"""",",database_exception,4381
19051,UNKNOWN,database_exception,3,True,spring.data.mongodb.password | Login password of the mongo server. Cannot be set with URI.,database_exception,19051
4955,UNKNOWN,database_exception,3,True,Container blog-mysql-1  Waiting,database_exception,4955
9299,INFO,database_exception,3,True,[INFO] |  |     +- com.google.code.findbugs:jsr305:jar:3.0.2:compile,database_exception,9299
2015,UNKNOWN,database_exception,3,True,"""""devDatabaseType"""": """"oracle"""",",database_exception,2015
22632,UNKNOWN,database_exception,3,True,"2025-07-25T02:07:32.001634,""Hi @jzheaux , thanks for your feedback! I'll get back to working on this issue soon. But I'm still a little worried about the correctness of the chosen solution - if the `authorize` method is marked as default, it turns out that all lambdas will implement the `check` method, is this a problem and how easy will it be to switch all lambdas to the `authorize` method?"",unknown,github_issue,spring-projects/spring-security,14846,AuthorizationManager should return AuthorizationResult,https://github.com/spring-projects/spring-security/pull/14846",database_exception,22632
24424,UNKNOWN,database_exception,3,True,"2025-07-25T00:49:03.897910,""That's a very opinionated statement that we can't really make. If Spring Data JDBC fits well with your data model, we would certainly advise anyone to use it."",unknown,github_issue,spring-projects/spring-boot,43899,Buggy Hibernate,https://github.com/spring-projects/spring-boot/issues/43899",database_exception,24424
20174,INFO,database_exception,3,True,[INFO] |  |     \- org.mongodb:bson-record-codec:jar:5.0.1:runtime,database_exception,20174
4463,UNKNOWN,database_exception,3,True,"2025-07-25T23:17:21.870416,""<li><a href=""""https://github.com/eslint/eslint/commit/93c78a5c58edb7ead9bff87c874d2ff9b824ec04""""><code>93c78a5</code></a> docs: Add instructions for pnpm compat (<a href=""""https://redirect.github.com/eslint/eslint/issues/19422"""">#19422</a>)</li>"",unknown,github_issue,jhipster/generator-jhipster,28681,build(deps-dev): bump eslint from 9.20.0 to 9.20.1 in /generators/angular/resources in the eslint group,https://github.com/jhipster/generator-jhipster/pull/28681",database_exception,4463
13687,UNKNOWN,database_exception,3,True,at app//org.springframework.boot.jdbc.DataSourceBuilder.build(DataSourceBuilder.java:184),database_exception,13687
20419,INFO,database_exception,3,True,[INFO] +- org.springframework.session:spring-session-data-mongodb:jar:3.3.5:compile,database_exception,20419
28818,UNKNOWN,database_exception,3,True,} else if (bean instanceof JdbcTemplate template) {,database_exception,28818
2419,UNKNOWN,database_exception,3,True,"2025-07-25T01:30:55.186849,* Database client wrapper that automatically adds the authenticated user ID to all SQL queries.,unknown,github_issue,spring-projects/spring-security,17119,Spring Webflux + Spring Security Interaction - Why does the WebFilter run twice?,https://github.com/spring-projects/spring-security/issues/17119",database_exception,2419
17561,UNKNOWN,database_exception,3,True,"However, sometime between Spring Boot 3.3.5 and 3.4.3 a change was made so that default value `create-drop` for `spring.jpa.hibernate.ddl-auto` was applied to all data sources whether they were embedded or not (if at least one of them was embedded), which is dangerous behaviour and can lead to unexpected data loss in production databases."",unknown,github_issue,spring-projects/spring-boot,44516,""When an application contains multiple DataSource beans, EntityManagerFactoryBuilder will default ddl-auto to a value that may only be appropriate for the primary DataSource"",https://github.com/spring-projects/spring-boot/issues/44516",database_exception,17561
7983,UNKNOWN,database_exception,3,True,"- [findUserEntityOrCreateAndSave](https://github.com/spring-projects/spring-security/blob/ddca7dc629bfd6ea0fd5e3d0279764fd0a456d09/web/src/main/java/org/springframework/security/web/webauthn/management/Webauthn4JRelyingPartyOperations.java#L337) should be `this.userEntities.findByUsername(username)` so no user is ever saved (that should only happen on registering a credential"",unknown,github_issue,spring-projects/spring-security,16385,PublicKeyCredentialUserEntityRepository saves `anonymousUser`,https://github.com/spring-projects/spring-security/issues/16385",database_exception,7983
13877,UNKNOWN,database_exception,3,True,"2025-07-25T01:51:13.153501,""Thanks for the feedback @wilkinsona. Other than specifying the origin (e.g. Bean name) is there anything else you can think of that could help improve/expedite the troubleshooting of multiple """"any request"""" filter chain issue?"",unknown,github_issue,spring-projects/spring-security,15874,Make it easier to determine where a filter chain has been defined,https://github.com/spring-projects/spring-security/issues/15874",database_exception,13877
3753,UNKNOWN,database_exception,3,True,"2025-07-25T00:10:01.510534,You DO NOT need to raise an issue for a managed dependency version upgrade as there's a semi-automatic process for checking managed dependencies for new versions before a release. BUT pull requests for upgrades that are more involved than just a version property change are still most welcome.,unknown,github_issue,spring-projects/spring-boot,46129,Create spring-boot-data-r2dbc module,https://github.com/spring-projects/spring-boot/issues/46129",database_exception,3753
4798,UNKNOWN,database_exception,3,True,Container blog-mysql-1  Started,database_exception,4798
2496,INFO,database_exception,3,True,2025-07-23T15:08:43.741+01:00  INFO 1224 --- [databaseTest] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 216 ms. Found 0 JPA repository interfaces.,database_exception,2496
15082,UNKNOWN,database_exception,3,True,"2025-07-25T01:54:20.800939,""It could be that the documentation should be modified to suggest a configuration that doesn't fall into the second case. However, I wonder if the documentation needs to be improved in some way to make this clearer or if this is simply something you missed when reading the documentation and modifying the code from there? I feel the current example and text in the docs make the use case fairly clear, but I imagine it could be confusing if the code is modified from there. Can you provide some feedback on this and whether you find the docs clear or confusing and in need of improvement?"",unknown,github_issue,spring-projects/spring-security,15683,Disabling credentials erasure on custom AuthenticationManager is not working,https://github.com/spring-projects/spring-security/issues/15683",database_exception,15082
8029,WARN,database_exception,3,True,2024-12-13T16:34:47.326-03:00  WARN 63645 --- [  restartedMain] org.hibernate.orm.incubating             : HHH90006001: Encountered incubating setting [hibernate.type.preferred_instant_jdbc_type].  See javadoc on corresponding `org.hibernate.cfg.AvailableSettings` constant for details.,database_exception,8029
8031,WARN,database_exception,3,True,2024-12-13T16:34:47.328-03:00  WARN 63645 --- [  restartedMain] org.hibernate.orm.incubating             : HHH90006001: Encountered incubating setting [hibernate.type.preferred_instant_jdbc_type].  See javadoc on corresponding `org.hibernate.cfg.AvailableSettings` constant for details.,database_exception,8031
1558,INFO,database_exception,3,True,2025-05-29T18:01:11.392+01:00  INFO 62676 --- [notaries] [ream-1721626063] [                                                 ] c.c.n.config.PostgreSqlTestContainer     : STDERR: 2025-05-29 17:01:11.390 UTC [89] DETAIL:  Key (id)=(e7bf0d30-733f-454e-bdf3-ab76f1f4a9d9) already exists.,database_exception,1558
1837,UNKNOWN,database_exception,3,True,"2025-07-25T00:06:35.451780,""Spring Batch 6 introduces support for """"resource less"""" infrastructure. With this mode, a database is not required and this could be helpful for those who do not need it and are currently forced to add an in-memory database for that purpose.",database_exception,1837
2495,INFO,database_exception,3,True,2025-07-23T15:08:43.451+01:00  INFO 1224 --- [databaseTest] [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.,database_exception,2495
1977,UNKNOWN,database_exception,3,True,"2025-07-25T00:07:31.374607,Applications running on MongoDB replica sets that require secondary or custom read routing.,unknown,github_issue,spring-projects/spring-boot,46261,Add configuration properties for MongoDB's read and write consistency,https://github.com/spring-projects/spring-boot/issues/46261",database_exception,1977
